bls_occupation,bls_year,total_employed_thousands,percent_women,women_share,percent_white,percent_black,percent_asian,percent_hispanic_or_latino,source_url
"Weighers, measurers, checkers, and samplers, recordkeeping",2022,59.0,42.5,0.425,80.7,12.8,3.3,23.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Executive secretaries and executive administrative assistants,2022,244.0,94.8,0.948,79.4,10.5,5.9,15.7,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Medical secretaries and administrative assistants,2022,74.0,97.3,0.973,65.3,21.8,4.5,12.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Secretaries and administrative assistants, except legal, medical, and executive",2022,1915.0,92.5,0.925,83.3,9.5,3.5,14.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Data entry keyers,2022,237.0,69.8,0.698,72.6,15.8,6.1,11.7,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Insurance claims and policy processing clerks,2022,314.0,84.7,0.847,67.5,25.8,3.5,17.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Mail clerks and mail machine operators, except postal service",2022,53.0,41.5,0.415,66.4,23.2,8.8,23.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Office clerks, general",2022,1256.0,84.3,0.843,76.5,14.0,5.6,20.0,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Office and administrative support workers, all other",2022,582.0,72.4,0.7240000000000001,76.7,14.2,4.6,17.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Natural resources, construction, and maintenance occupations",2022,14260.0,5.7,0.057,86.7,7.4,1.9,34.2,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Farming, fishing, and forestry occupations",2022,980.0,26.2,0.262,89.2,4.6,1.8,44.7,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"First-line supervisors of farming, fishing, and forestry workers",2022,52.0,16.9,0.16899999999999998,92.5,5.1,1.1,29.2,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Miscellaneous agricultural workers,2022,753.0,26.5,0.265,89.4,4.7,1.5,49.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Logging workers,2022,57.0,6.5,0.065,89.8,4.2,0.0,6.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Construction and extraction occupations,2022,8427.0,4.2,0.042,87.1,7.1,1.6,40.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
First-line supervisors of construction trades and extraction workers,2022,661.0,4.3,0.043,91.1,4.1,1.6,25.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
